HR_MEDICAO_GA,DT_MEDICAO_GA,TEM_INS_GA,UMD_INS_GA
0,2022-06-01,27.69090929818182,78.2
100,2022-06-01,27.60000038,80.75
200,2022-06-01,27.541666983333332,82.33333333333333
300,2022-06-01,27.109091323636367,84.45454545454545
400,2022-06-01,27.100000379999997,85.2
500,2022-06-01,26.954545972727274,86.0
600,2022-06-01,26.70000076,87.33333333333333
700,2022-06-01,26.70000076,88.0
800,2022-06-01,26.408333935,88.08333333333333
900,2022-06-01,26.20000076,89.0
1000,2022-06-01,26.24166742666667,89.0909090909091
1100,2022-06-01,27.045455063636368,87.0
1200,2022-06-01,28.14545458,81.9090909090909
1300,2022-06-01,29.29090864181818,77.9090909090909
1400,2022-06-01,30.10000020727273,73.9
1500,2022-06-01,30.699999493333333,71.25
1600,2022-06-01,31.009999278,71.6
1700,2022-06-01,31.34545378545454,71.18181818181819
1800,2022-06-01,31.716665906666663,73.41666666666667
1900,2022-06-01,31.799999239999995,75.0
2000,2022-06-01,31.66363560363636,74.9090909090909
2100,2022-06-01,30.033332826666665,74.0
2200,2022-06-01,29.52222146222222,75.44444444444444
2300,2022-06-01,28.854545074545456,76.54545454545455
0,2022-06-02,28.363636363636363,78.63636363636364
100,2022-06-02,28.458333333333332,84.33333333333333
200,2022-06-02,28.074999968333334,87.08333333333333
300,2022-06-02,28.0,88.0
400,2022-06-02,27.666666983333332,88.8
500,2022-06-02,27.50000038,89.4
600,2022-06-02,27.100000379999997,90.0
700,2022-06-02,27.100000379999997,90.0
800,2022-06-02,26.900000570000003,90.0
900,2022-06-02,26.675000665000002,90.58333333333333
1000,2022-06-02,26.625000633333332,91.66666666666667
1100,2022-06-02,27.316667078333335,88.25
1200,2022-06-02,28.333333333333332,83.0
1300,2022-06-02,28.99999962,79.0
1400,2022-06-02,30.69999924,70.6
1500,2022-06-02,31.554544798181816,67.3
1600,2022-06-02,32.027271967272725,66.2
1700,2022-06-02,32.38333257333333,67.0
1800,2022-06-02,32.54999924,66.16666666666667
1900,2022-06-02,31.541666033333332,66.27272727272727
2000,2022-06-02,31.118181058181815,67.54545454545455
2100,2022-06-02,30.080000304,70.55555555555556
2200,2022-06-02,29.39999924,71.1
2300,2022-06-02,29.079999543999996,74.1
0,2022-06-03,29.069999506,79.125
100,2022-06-03,28.899999620000003,80.9090909090909
200,2022-06-03,28.5,83.0
300,2022-06-03,28.5,84.0
400,2022-06-03,28.020000076000002,84.9
500,2022-06-03,27.872727307272726,85.36363636363636
600,2022-06-03,27.60000038,87.44444444444444
700,2022-06-03,27.60000038,88.0
800,2022-06-03,27.22500038,88.0
900,2022-06-03,27.283333618333334,88.125
1000,2022-06-03,28.108333428333335,83.25
1100,2022-06-03,29.369999506,78.0
1200,2022-06-03,30.85833295333333,71.54545454545455
1300,2022-06-03,32.041666033333335,68.41666666666667
1400,2022-06-03,32.35555479555555,67.875
1500,2022-06-03,32.709090149090905,69.27272727272727
1600,2022-06-03,33.04999924,67.75
1700,2022-06-03,32.59166590666666,70.5
1800,2022-06-03,31.25833257333333,67.41666666666667
1900,2022-06-03,30.440000152,66.8
2000,2022-06-03,29.674999239999995,69.66666666666667
2100,2022-06-03,29.122221631111113,72.33333333333333
2200,2022-06-03,28.645454407272727,72.27272727272727
2300,2022-06-03,28.681818009090907,78.63636363636364
0,2022-06-04,28.35,80.0
100,2022-06-04,28.0,80.83333333333333
200,2022-06-04,28.0,82.25
300,2022-06-04,27.800000190000002,84.08333333333333
400,2022-06-04,27.60000038,85.0
500,2022-06-04,27.60000038,85.0
600,2022-06-04,27.345454994545456,85.0
700,2022-06-04,27.10000038,85.0
800,2022-06-04,27.100000379999997,85.0909090909091
900,2022-06-04,26.866667268333334,85.0
1000,2022-06-04,27.172727756363635,84.0
1100,2022-06-04,28.39999993666667,79.66666666666667
1200,2022-06-04,29.616666159999998,77.0
1300,2022-06-04,30.866666159999998,71.83333333333333
1400,2022-06-04,31.88333257333333,68.75
1500,2022-06-04,33.072726859090906,63.09090909090909
1600,2022-06-04,32.93636287636363,61.09090909090909
1700,2022-06-04,33.339999391999996,63.6
1800,2022-06-04,32.808332764166664,64.83333333333333
1900,2022-06-04,32.081817629999996,64.9090909090909
2000,2022-06-04,31.25454469454545,68.9090909090909
2100,2022-06-04,30.64999962,71.41666666666667
2200,2022-06-04,30.1666673,72.08333333333333
2300,2022-06-04,30.083333650000004,75.83333333333333
0,2022-06-05,29.574999334999998,79.66666666666667
100,2022-06-05,28.833333016666668,79.41666666666667
200,2022-06-05,28.489999962000002,80.1
300,2022-06-05,28.008333365,82.75
400,2022-06-05,28.0,84.0
500,2022-06-05,27.866666793333334,84.91666666666667
600,2022-06-05,27.60000038,86.0
700,2022-06-05,27.46363674363636,86.36363636363636
800,2022-06-05,27.100000379999997,86.0
900,2022-06-05,27.245454960000004,85.45454545454545
1000,2022-06-05,28.175000031666666,81.5
1100,2022-06-05,29.53636325636364,78.0909090909091
1200,2022-06-05,30.549999873333334,74.0
1300,2022-06-05,31.424999239999995,69.83333333333333
1400,2022-06-05,32.39090833090909,62.27272727272727
1500,2022-06-05,33.027271967272725,57.81818181818182
1600,2022-06-05,33.21666590666666,55.833333333333336
1700,2022-06-05,33.074999175833334,64.63636363636364
1800,2022-06-05,32.04999924,64.58333333333333
1900,2022-06-05,31.09999924,68.8
2000,2022-06-05,30.59999974666667,70.16666666666667
2100,2022-06-05,29.681817663636362,72.54545454545455
2200,2022-06-05,29.166666191666664,75.25
2300,2022-06-05,28.89999962,75.75
0,2022-06-06,28.718181610909088,78.54545454545455
100,2022-06-06,28.5,80.0
200,2022-06-06,28.100000034545452,80.0
300,2022-06-06,28.0,81.5
400,2022-06-06,28.0,82.83333333333333
500,2022-06-06,27.60000038,85.0
600,2022-06-06,27.458333808333336,85.0
700,2022-06-06,27.10000038,85.41666666666667
800,2022-06-06,27.100000379999997,86.0
900,2022-06-06,27.383333681666667,87.16666666666667
1000,2022-06-06,28.066666761666667,82.83333333333333
1100,2022-06-06,29.24545392363636,76.72727272727273
1200,2022-06-06,30.6428566,69.14285714285714
1300,2022-06-06,31.84545378545454,65.0909090909091
1400,2022-06-06,32.71666590666666,61.666666666666664
1500,2022-06-06,32.49999924,61.7
1600,2022-06-06,32.39090833090909,58.666666666666664
1700,2022-06-06,32.56363574181818,56.72727272727273
1800,2022-06-06,33.17499924,60.666666666666664
1900,2022-06-06,33.29999924,65.16666666666667
2000,2022-06-06,32.88333257333333,64.91666666666667
2100,2022-06-06,31.63333257333333,67.36363636363636
2200,2022-06-06,30.06666692,70.45454545454545
2300,2022-06-06,29.472726650909088,78.54545454545455
0,2022-06-07,28.899999620000003,80.0
100,2022-06-07,28.53333330166667,80.91666666666667
200,2022-06-07,28.455555597777774,83.55555555555556
300,2022-06-07,28.0,84.0
400,2022-06-07,28.0,84.77777777777777
500,2022-06-07,27.750000158333336,85.66666666666667
600,2022-06-07,27.60000038,86.0
700,2022-06-07,27.483333745,85.91666666666667
800,2022-06-07,27.10000038,85.5
900,2022-06-07,27.10000038,86.1
1000,2022-06-07,27.781818389090912,83.72727272727273
1100,2022-06-07,28.966666223333334,79.83333333333333
1200,2022-06-07,30.11818174909091,70.72727272727273
1300,2022-06-07,30.94999924,67.5
1400,2022-06-07,31.59999924,65.0
1500,2022-06-07,31.716665906666663,63.27272727272727
1600,2022-06-07,32.25454469454545,61.90909090909091
1700,2022-06-07,32.38333257333333,62.333333333333336
1800,2022-06-07,32.01666593833333,60.54545454545455
1900,2022-06-07,31.34999924,66.7
2000,2022-06-07,30.53333330166667,67.63636363636364
2100,2022-06-07,29.745454096363634,70.81818181818181
2200,2022-06-07,29.299999239999995,71.25
2300,2022-06-07,28.89999962,71.9090909090909
0,2022-06-08,28.609090805454546,74.9090909090909
100,2022-06-08,28.390909194545454,76.0
200,2022-06-08,28.0,76.81818181818181
300,2022-06-08,28.0,78.25
400,2022-06-08,27.63636398181818,79.9090909090909
500,2022-06-08,27.60000038,81.0
600,2022-06-08,27.233333745,81.16666666666667
700,2022-06-08,27.100000379999997,82.27272727272727
800,2022-06-08,27.027273176363636,83.0909090909091
900,2022-06-08,27.120000456000003,84.3
1000,2022-06-08,27.991666793333334,78.25
1100,2022-06-08,29.30833276333333,73.25
1200,2022-06-08,30.89999979272727,67.54545454545455
1300,2022-06-08,32.29999924,61.916666666666664
1400,2022-06-08,32.61818105818182,59.54545454545455
1500,2022-06-08,33.209090149090905,57.09090909090909
1600,2022-06-08,33.38333257333333,55.5
1700,2022-06-08,33.916666668333335,53.916666666666664
1800,2022-06-08,33.79999924,55.27272727272727
1900,2022-06-08,33.13333257333333,61.888888888888886
2000,2022-06-08,31.981817421818178,67.18181818181819
2100,2022-06-08,31.04999924,68.8
2200,2022-06-08,30.40000025333333,71.16666666666667
2300,2022-06-08,30.188889606666667,74.11111111111111
0,2022-06-09,29.799999239999995,77.66666666666667
100,2022-06-09,29.789999392,79.2
200,2022-06-09,29.29999924,79.0909090909091
300,2022-06-09,29.033332826666665,79.66666666666667
400,2022-06-09,28.709999848000002,79.5
500,2022-06-09,28.48333327,80.0
600,2022-06-09,28.0,80.0
700,2022-06-09,27.781818389090912,80.54545454545455
800,2022-06-09,27.600000379999997,81.0
900,2022-06-09,27.745454787272728,80.54545454545455
1000,2022-06-09,28.72499974666667,77.08333333333333
1100,2022-06-09,30.029999734,73.9
1200,2022-06-09,31.50833257333333,67.91666666666667
1300,2022-06-09,32.57272651272727,62.45454545454545
1400,2022-06-09,33.11666616,60.166666666666664
1500,2022-06-09,33.16363560363636,59.90909090909091
1600,2022-06-09,33.39090833090909,60.0
1700,2022-06-09,32.39090833090909,66.54545454545455
1800,2022-06-09,32.04999924,66.58333333333333
1900,2022-06-09,30.64545406181818,69.36363636363636
2000,2022-06-09,28.933332921666665,70.58333333333333
2100,2022-06-09,28.281818216363636,72.27272727272727
2200,2022-06-09,27.672727583636366,75.0
2300,2022-06-09,27.30000044909091,76.81818181818181
